id;name;disambiguatingDescription;description;longitude;latitude;streetAddress;postalCode;addressLocality;telephone;email;url;image;dateModified1a5e29ab-0d20-420b-9dbf-fc0783715fa2;Schienenerlebnisse;Kreative Ideen, Flexibilität und Erfahrung. Sie planen einen Event auf Schienen und wollen Ihren Gästen eine einzigartige Atmosphäre bieten?;<p>Wir stellen Ihnen gerne ein Gesamtpaket unter der Ber&uuml;cksichtigung Ihrer W&uuml;nsche zusammen. Ob private oder gesch&auml;ftliche Anl&auml;sse &ndash; mit unserem Fachwissen und unserer Kreativit&auml;t beraten wir Sie ganz individuell und mit Liebe zum Detail.</p><p>Sie haben die M&ouml;glichkeit, aus bereits bestehenden Event-Beispielen auszuw&auml;hlen, diese je nach Wunsch individuell anzupassen oder f&uuml;r sich einen ganz eigenen Event zu gestalten. Mit dem untenstehenden Button gelangen Sie zu auserlesenen Event-Beispielen.</p>;8.894150753920062;47.55586341460734;Metzgerstrasse 5;8500;Frauenfeld;[{'@type': 'ImageObject', 'contentUrl': 'https://ostpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/2/b/b/5/2bb576d83066deb70e9fb2c1d71da7479961e2eb_ced1f5bb9631c2aafb31b53d4c0958c1.jpg', 'caption': {'de': 'Lokomotive'}}];2026-03-05T18:34:44+01:00
94d59c6a-d334-468b-bfe4-1918a4e55532;Pizolbahnen AG;Pizolbahnen AG bietet über 120 km Wanderwege, Trails für Trailrunner und Mountainbiker sowie idyllische Bergseen. Familien können den Heidipfad, den Wasserwald oder den MounTeens Detektiv-Weg erkunden.;Über 120 Kilometer Wanderwege, Trails für Trailrunner und Mountainbiker, idyllische Bergseen für Wanderer und Sportfischer, der Klettergarten Twärchamm und Startplätze für Gleitschirm-Piloten. Für Familien bietet sich besonders der Heidipfad, der Wasserwald oder der MounTeens Detektiv-Weg an.;9.4736441;47.0171423;Loisstrasse 50;7310;Bad Ragaz;+41 81 300 48 30;info@pizol.com;https://pizol.com/;[{'@type': 'ImageObject', 'contentUrl': 'https://ostpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/2/a/8/0/2a80a44323cc5a867502ec547ce4e91f4ef4bc87_c62423ca84a2268e65d4ce4743714f93.jpg'}];2025-12-15T21:47:06+01:00
95d39dc6-6067-49a2-a5c2-f0005f33d388;Bergbahnen Flumserberg;Flumserberg ist das grösste Wintersportgebiet zwischen Zürich und Chur und begeistert im Winter mit bestens präparierten Pisten, modernen Anlagen und vielfältigen Erlebnissen im Schnee. Auch im Sommer lockt die Region mit abwechslungsreichen Angeboten – von Wander- und Bikewegen über Familienabenteuer bis hin zu einzigartigen Naturerlebnissen.;Am Flumserberg stehen im Winter 65 Pistenkilometer mit 17 bequemen Liftanlagen, eine 3 km lange mittelschwere Schlittelpiste, 35 km Winterwanderwege sowie 20 Loipenkilometer zur Verfügung. Für Abwechslung auf den Pisten sorgen die Abfahrtsroute HäxäWäldli sowie der SnowPark, der FamilyRun und die CrossPiste Flumserberg. 

Während der schneefreien Zeit lässt der Flumserberg mit über 150 Wanderkilometer, der Rodelbahn FLOOMZER, dem Kletterturm CLiiMBER und den 13 km flowigen BikerTrails die Herzen der Gäste höher schlagen. Während dieser Zeit sind 6 Bahnanlagen in Betrieb.;9.280577301979067;47.092138187784;Molseralpstrasse 9;8898;Flumserberg;+41 81 720 15 15;info@flumserbergbahnen.ch;https://www.flumserberg.ch/de;[{'@type': 'ImageObject', 'contentUrl': 'https://ostpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/4/3/e/0/43e05b3ec73a515856671a1abc6a82566d0c9a81_418b29c86f8ffdf09fbdcf342f674b4b.jpg'}];2026-04-13T21:08:05+02:00
b3f15e19-db82-4025-a62f-0cfb6fcc4ef3;Skilift Tristeli, St.Margrethenberg;Der Skilift Tristeli auf dem Hochplateau St. Margrethenberg bietet im Winter bei ausreichendem Schnee etwa 4 km Pisten. Ein kleines Restaurant mit Panoramaterrasse befindet sich am Golerberg. Das Skigebiet liegt auf 1195 bis 1447 m Höhe.;Auf dem Hochplateau St.Margrethenberg wird im Winter bei ausreichend Schnee ein kleiner Skilift betrieben. Es stehen ca. 4 km Pisten zur Verfügung. Zuoberst am Lift befindet sich auf dem Golerberg ein kleines Restaurant mit einer aussichtsreichen Terrasse. Das familiäre Skigebiet liegt auf einer Höhe von 1195 bis 1447 m.;9.5078917;46.9810631;Furggelsstrasse 20;7313;St. Margrethenberg;079 647 50 65;bislin.daniel@bluewin.ch;https://skilift-tristeli.ch/;[{'@type': 'ImageObject', 'contentUrl': 'https://ostpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/9/b/0/d/9b0d33dc21c6989d93d25d39e0cb42a6c2bc72f9_417f5cad28a2c6408d3c8b861accf814.JPG'}];2026-06-29T21:01:20+02:00
f2a68a9a-d6fb-4239-9df9-c9d236873720;Luftseilbahn Wasserauen-Ebenalp AG;Die Ebenalp ist der ideale Ausgangspunkt für Wanderungen im eindrücklichen Alpstein. Hier zeigt sich das Appenzellerland von seiner ganz besonderen Seite. Sanfte Alpenwiesen, schroffe Felsformationen und herrliche Aussichtspunkte.;Man spürt sie noch heute. Die Urkraft des Berges.
An der Felswand beim Aescher und im Innern der Wildkirchlihöhlen

Es ist der Ort, an dem alles begann. Die Quelle des Alpsteintourismus. Dort, wo das Berggasthaus Aescher steht. Es gehört zu den ältesten der Schweiz. Bereits um 1800 begannen Eremiten und Sennen auf der Alp Aescher Gäste zu verpflegen. Heute ist das Gasthaus weit bekannt. Für seine Atmosphäre und seine Gastfreundschaft. Angeschmiegt an den Felsen, eins mit dem Berg und der imposanten Natur. Ein Bild, das um die Welt geht.

Nicht weniger gross ist die Anziehungskraft des nahegelegenen Wildkirchli. Prähistorische Funde machen die Wildkirchlihöhlen 1904 berühmt. Die Ausgrabungen beweisen erstmals, dass Neandertaler auch im Alpenraum waren. Und dann wären da noch die Spuren der Höhlenbären.

Aber auch im Winter hat die Ebenalp, die Sonnenterrasse des Alpsteins, etwas zu bieten.

Raus aus dem grauen Alltag, rein in das sonnige Vergnügen.
Leichtfüssig durch die schneegepuderte Landschaft, die Sonne im Gesicht und der Blick über den Alpstein – so unbeschwert kann der Winter sein. Auf dem Panoramaweg und der Schneeschuhroute bleibt der Genuss gewiss nicht auf der Strecke.
Beide Wanderungen führen von der Bergstation Ebenalp vorbei am Berggasthaus. Sonnenhungrige sowie Erholungssuchende sind hier gut bedient.

Im Skigebiet Ebenalp-Horn gleitet der Stresspegel ebenfalls talwärts. Kurze Anfahrtswege, genügend Parkplätze und geringe Wartezeiten lassen aufatmen. Bei uns gilt: Herunterfahren und Entschleunigen. Genau das richtige für ein locker-flockiges Schneevergnügen im Appenzellerland.
Unser Naherholungs-Skigebiet trumpft mit abwechslungsreichen Abfahrten in allen Schwierigkeitsgraden für die ganze Familie.;9.428586959838869;47.2866086580885;Schwendetalstrasse 82;9057;Wasserauen;+41 71 799 12 12;info@ebenalp.ch;https://www.ebenalp.ch;[{'@type': 'ImageObject', 'contentUrl': 'https://ostpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/3/7/b/9/37b920275a32c0d68d8bfa39f956107f87637beb_ebdd51f0fb6745664d1d5cb077444e5e.jpg'}];2025-02-27T18:10:24+01:00
